Date,Asset,Platform,WellID,GrossProduction_boepd,NetProduction_boepd,Gas_mscfd,Oil_bopd,Uptime_pct,Status
2025-08-27,Tuna,Tuna-FPSO,T-03,272.4,136.2,1180.7,68.8,94.9,Online
2025-01-26,Block A,Alpha,A-04,1645.3,471.7,6953.6,446.4,93.9,Online
2025-01-08,Block A,Bravo,B-02,1897.9,544.1,8073.8,505.9,96.7,Online
2025-11-18,Block A,Bravo,B-01,1963.4,562.9,7669.6,641.0,98.0,Online
2025-11-08,Block A,Bravo,B-01,1985.9,569.4,8265.7,560.8,98.3,Online
2025-03-31,Tuna,Tuna-FPSO,T-02,247.2,123.6,1039.3,68.0,94.4,Online
2025-05-29,Block A,Alpha,A-04,2226.0,638.2,8764.7,714.9,98.4,Online
2025-04-10,Block A,Bravo,B-03,2026.8,581.1,7911.2,662.8,95.1,Online
2025-04-26,Block A,Bravo,B-03,2069.0,593.2,8889.3,536.4,96.8,Online
2025-04-23,Tuna,Tuna-FPSO,T-03,244.1,122.0,1038.5,65.0,93.0,Online
2025-01-05,Block A,Alpha,A-03,1614.7,462.9,6963.6,414.1,96.6,Online
2025-06-30,Block A,Alpha,A-02,1815.8,520.6,7108.8,590.1,93.3,Online
2025-03-18,Tuna,Tuna-FPSO,T-01,257.1,128.6,1051.8,75.8,98.7,Online
2025-02-16,Block A,Alpha,A-03,1606.3,460.5,6483.3,488.5,94.1,Online
2025-09-29,Block A,Alpha,A-01,2171.6,622.6,9303.6,567.5,99.7,Online
2025-02-11,Block A,Alpha,A-04,1852.0,531.0,7534.9,552.9,96.0,Online
2025-12-19,Tuna,Tuna-FPSO,T-02,259.8,129.9,1034.1,81.5,92.8,Online
2025-12-24,Tuna,Tuna-FPSO,T-02,262.3,131.2,1038.3,83.3,98.9,Online
2025-10-16,Block A,Alpha,A-04,2012.5,577.0,7968.4,638.6,95.7,Online
2025-05-02,Block A,Alpha,A-04,1799.4,515.9,7551.2,497.5,95.0,Online
2025-10-05,Block A,Bravo,B-01,2151.9,616.9,8613.3,666.8,95.3,Online
2025-04-14,Block A,Bravo,B-03,1964.7,563.3,8539.8,492.3,97.4,Online
2025-02-13,Block A,Alpha,A-03,1697.0,486.5,7016.8,487.2,97.0,Online
2025-02-06,Block A,Alpha,A-04,1856.5,532.3,7554.0,554.1,99.9,Online
2025-09-30,Block A,Alpha,A-04,1905.0,546.2,7854.2,550.8,98.1,Online
2025-01-15,Block A,Alpha,A-01,1739.5,498.7,7068.4,520.8,94.7,Online
2025-09-27,Tuna,Tuna-FPSO,T-03,234.6,117.3,974.0,66.7,93.5,Online
2025-07-14,Block A,Alpha,A-01,2152.2,617.0,9277.0,552.7,93.9,Online
2025-02-18,Block A,Bravo,B-01,1724.3,494.4,7434.5,442.5,92.3,Online
2025-06-20,Tuna,Tuna-FPSO,T-01,270.0,135.0,1082.0,83.4,95.7,Online
2025-07-26,Tuna,Tuna-FPSO,T-03,278.2,139.1,1188.5,73.3,96.4,Online
2025-02-08,Block A,Bravo,B-02,1801.7,516.5,7155.5,568.0,92.5,Online
2025-12-27,Tuna,Tuna-FPSO,T-02,263.5,131.8,1115.4,71.2,98.7,Online
2025-11-01,Tuna,Tuna-FPSO,T-01,244.3,122.2,996.4,72.5,95.2,Online
2025-05-10,Block A,Alpha,A-04,2150.5,616.5,9208.0,562.9,95.6,Online
2025-12-27,Block A,Alpha,A-03,1685.5,483.2,6779.2,516.7,97.6,Online
2025-02-11,Block A,Alpha,A-01,1665.1,477.4,6370.9,566.7,94.3,Online
2025-05-10,Block A,Bravo,B-01,1896.7,543.8,7537.2,597.2,95.7,Online
2025-01-30,Block A,Bravo,B-02,1981.0,568.0,7551.2,679.1,98.9,Online
2025-10-17,Block A,Bravo,B-02,2023.1,580.0,7768.3,683.7,95.9,Online
2025-04-17,Block A,Bravo,B-01,1996.0,572.3,8603.7,512.6,94.1,Online
2025-11-15,Block A,Bravo,B-01,1596.6,457.7,6280.2,513.8,97.8,Online
2025-09-30,Block A,Alpha,A-02,2212.6,634.4,9278.8,612.8,95.4,Online
2025-02-14,Tuna,Tuna-FPSO,T-01,226.8,113.4,918.1,68.5,93.6,Online
2025-08-13,Block A,Bravo,B-02,1905.6,546.3,7894.2,544.5,99.2,Online
2025-06-17,Block A,Alpha,A-02,542.6,155.6,2082.3,183.6,29.5,Online
2025-10-13,Tuna,Tuna-FPSO,T-03,254.6,127.3,1049.4,73.7,95.0,Online
2025-07-06,Block A,Bravo,B-01,1943.4,557.2,7980.3,567.5,97.2,Online
2025-12-30,Block A,Alpha,A-03,1612.6,462.3,6486.1,494.3,92.2,Online
2025-08-28,Block A,Alpha,A-02,2251.0,645.4,9372.5,635.1,99.2,Online
2025-10-21,Block A,Alpha,A-01,2042.8,585.7,7841.0,690.9,94.2,Online
2025-05-26,Block A,Bravo,B-03,1944.3,557.4,7401.0,668.3,99.0,Online
2025-05-13,Tuna,Tuna-FPSO,T-03,254.3,127.2,1068.1,70.1,99.7,Online
2025-05-26,Block A,Alpha,A-02,2063.1,591.5,8325.8,627.6,92.6,Online
2025-03-04,Tuna,Tuna-FPSO,T-02,245.0,122.5,1058.7,62.5,94.6,Online
2025-08-31,Block A,Alpha,A-01,1808.3,518.4,7122.1,580.4,95.9,Online
2025-05-07,Block A,Alpha,A-04,1890.1,541.9,7877.2,532.0,98.4,Online
2025-09-19,Block A,Alpha,A-04,1790.6,513.4,7612.8,478.0,96.8,Online
2025-06-21,Block A,Bravo,B-02,605.4,173.6,2354.4,199.5,35.8,Online
2025-10-01,Tuna,Tuna-FPSO,T-02,283.3,141.7,1100.5,93.6,98.5,Online
2025-09-22,Block A,Bravo,B-01,1793.6,514.2,7249.4,543.7,93.3,Online
2025-05-05,Block A,Alpha,A-04,1908.3,547.1,7613.7,595.6,92.5,Online
2025-07-02,Block A,Bravo,B-03,2202.4,631.4,9090.1,635.1,95.3,Online
2025-11-30,Block A,Bravo,B-03,1735.5,497.6,6812.8,560.9,94.2,Online
2025-06-20,Block A,Bravo,B-02,550.5,157.8,2194.3,172.2,27.2,Online
2025-02-22,Block A,Bravo,B-03,2035.8,583.7,8464.0,576.5,98.1,Online
2025-07-31,Tuna,Tuna-FPSO,T-03,274.0,137.0,1130.9,79.0,92.7,Online
2025-11-13,Block A,Alpha,A-03,1839.4,527.4,7003.5,631.9,92.5,Online
2025-06-29,Tuna,Tuna-FPSO,T-02,261.6,130.8,1028.4,84.3,95.4,Online
2025-07-17,Block A,Bravo,B-01,2042.5,585.6,8442.8,586.8,97.0,Online
2025-08-05,Tuna,Tuna-FPSO,T-02,304.6,152.3,1167.1,103.4,97.9,Online
2025-05-14,Block A,Bravo,B-03,2227.7,638.7,9205.1,640.6,94.3,Online
2025-09-25,Block A,Alpha,A-01,2214.6,634.9,9540.5,569.7,100.0,Online
2025-12-26,Block A,Bravo,B-02,1588.0,455.3,6152.0,527.3,98.6,Online
2025-10-19,Tuna,Tuna-FPSO,T-02,271.2,135.6,1140.2,74.6,98.8,Online
2025-12-21,Block A,Bravo,B-02,1749.3,501.5,7005.3,541.5,96.7,Online
2025-11-24,Block A,Alpha,A-02,1831.1,525.0,7173.8,594.2,96.4,Online
2025-03-23,Tuna,Tuna-FPSO,T-02,219.0,109.5,928.3,58.9,98.1,Online
2025-04-16,Tuna,Tuna-FPSO,T-03,273.1,136.6,1057.6,90.8,96.0,Online
2025-02-20,Tuna,Tuna-FPSO,T-01,223.9,112.0,875.6,72.9,93.6,Online
2025-04-19,Tuna,Tuna-FPSO,T-01,250.0,125.0,942.5,87.5,98.5,Online
2025-09-04,Block A,Alpha,A-03,2047.5,587.0,7882.8,688.4,92.5,Online
2025-04-26,Tuna,Tuna-FPSO,T-03,283.9,141.9,1213.5,74.7,93.8,Online
2025-12-03,Block A,Bravo,B-02,1852.1,531.0,7397.8,576.6,93.7,Online
2025-02-10,Block A,Bravo,B-02,1906.1,546.5,7943.3,536.6,94.4,Online
2025-04-23,Block A,Bravo,B-01,1776.4,509.3,7354.4,508.4,95.0,Online
2025-08-15,Block A,Alpha,A-02,2081.0,596.6,8236.1,661.0,99.9,Online
2025-04-03,Block A,Bravo,B-03,1911.6,548.1,7448.9,627.3,98.0,Online
2025-02-18,Block A,Alpha,A-01,1844.4,528.8,7502.4,550.9,95.7,Online
2025-07-22,Tuna,Tuna-FPSO,T-03,278.3,139.2,1208.7,69.9,93.2,Online
2025-01-03,Block A,Alpha,A-02,1680.0,481.7,7305.6,420.4,96.1,Online
2025-08-22,Block A,Bravo,B-01,2013.2,577.2,8589.4,532.3,99.9,Online
2025-02-03,Block A,Alpha,A-01,2010.3,576.4,7622.8,696.0,94.7,Online
2025-05-23,Block A,Alpha,A-02,1858.9,532.9,7155.2,625.2,98.8,Online
2025-04-01,Block A,Bravo,B-02,2093.1,600.1,8872.3,563.4,96.2,Online
2025-06-03,Block A,Alpha,A-03,2071.8,594.0,8476.3,610.4,94.3,Online
2025-12-30,Block A,Bravo,B-01,1713.0,491.1,6817.1,537.6,96.1,Online
2025-07-25,Block A,Bravo,B-01,1786.2,512.1,7583.2,478.7,93.9,Online
2025-05-07,Tuna,Tuna-FPSO,T-03,262.9,131.4,1037.2,84.1,92.9,Online
2025-02-14,Block A,Bravo,B-01,1622.0,465.0,6751.5,458.0,95.0,Online
2025-03-10,Tuna,Tuna-FPSO,T-02,267.8,133.9,1157.3,68.3,92.0,Online
2025-07-30,Block A,Bravo,B-02,2075.4,595.0,8908.8,539.4,93.3,Online
2025-10-18,Block A,Alpha,A-02,1925.4,552.0,7977.5,550.0,95.1,Online
2025-08-19,Block A,Bravo,B-03,2123.0,608.7,8999.3,571.4,93.4,Online
2025-07-30,Tuna,Tuna-FPSO,T-02,275.9,137.9,1181.2,72.2,96.0,Online
2025-09-08,Tuna,Tuna-FPSO,T-02,282.3,141.2,1204.8,74.6,99.5,Online
2025-02-21,Block A,Alpha,A-04,1747.6,501.0,7601.6,437.0,95.8,Online
2025-04-05,Tuna,Tuna-FPSO,T-03,287.0,143.5,1174.1,84.6,96.4,Online
2025-01-17,Tuna,Tuna-FPSO,T-02,243.2,121.6,1004.5,70.0,96.9,Online
2025-02-28,Block A,Alpha,A-03,1866.8,535.2,7049.3,651.4,94.1,Online
2025-10-25,Block A,Bravo,B-01,1942.2,556.8,8160.5,535.2,94.8,Online
2025-12-25,Block A,Alpha,A-02,1778.2,509.8,7597.5,468.3,93.6,Online
2025-04-04,Tuna,Tuna-FPSO,T-03,232.9,116.5,985.3,63.0,96.5,Online
2025-12-27,Block A,Alpha,A-01,1658.9,475.6,6287.9,574.8,93.4,Online
2025-11-24,Tuna,Tuna-FPSO,T-03,228.7,114.3,971.7,61.2,96.3,Online
2025-06-04,Tuna,Tuna-FPSO,T-02,270.5,135.2,1060.8,87.6,94.7,Online
2025-07-31,Block A,Bravo,B-02,1992.8,571.3,8461.3,533.9,93.6,Online
2025-01-02,Tuna,Tuna-FPSO,T-01,224.2,112.1,872.7,73.7,99.5,Online
2025-06-22,Tuna,Tuna-FPSO,T-01,251.0,125.5,1031.1,73.2,98.6,Online
2025-04-26,Tuna,Tuna-FPSO,T-02,268.6,134.3,1066.8,84.7,98.5,Online
2025-03-04,Tuna,Tuna-FPSO,T-01,229.8,114.9,935.1,68.6,94.2,Online
2025-07-31,Block A,Alpha,A-02,1945.3,557.7,8099.1,548.9,94.7,Online
2025-03-05,Tuna,Tuna-FPSO,T-01,227.4,113.7,980.3,58.4,94.2,Online
2025-06-24,Block A,Alpha,A-03,616.3,176.7,2488.2,187.3,29.0,Online
2025-11-01,Block A,Alpha,A-04,1680.7,481.9,7133.2,450.8,93.5,Online
2025-04-30,Block A,Alpha,A-03,1922.6,551.2,7417.4,643.7,99.2,Online
2025-05-06,Block A,Alpha,A-04,2057.5,589.9,8710.9,555.6,100.0,Online
2025-04-27,Block A,Alpha,A-04,2002.5,574.1,8067.0,611.6,96.8,Online
2025-04-09,Block A,Bravo,B-03,1819.9,521.8,7717.2,489.3,97.8,Online
2025-12-25,Block A,Alpha,A-03,1959.3,561.7,7469.1,671.5,97.4,Online
2025-06-06,Block A,Bravo,B-01,2029.9,582.0,8345.0,591.1,99.9,Online
2025-10-25,Block A,Bravo,B-02,2202.6,631.5,9036.3,644.6,96.2,Online
2025-10-19,Tuna,Tuna-FPSO,T-01,264.8,132.4,1054.4,83.0,96.9,Online
2025-09-18,Tuna,Tuna-FPSO,T-03,247.3,123.7,965.3,80.9,98.2,Online
2025-10-27,Block A,Bravo,B-02,2222.8,637.3,8758.9,712.6,96.6,Online
2025-06-14,Block A,Bravo,B-01,632.2,181.3,2598.1,184.2,39.4,Online
2025-12-10,Block A,Bravo,B-03,1928.0,552.8,7556.7,625.1,98.6,Online
2025-12-10,Tuna,Tuna-FPSO,T-02,222.5,111.2,851.5,75.7,96.3,Online
16/01/2025,Block A,Alpha,A-04,1806.6,518.0,7367.2,536.4,95.4,Online
2025-12-24,Block A,Bravo,B-03,1893.0,542.7,7827.0,543.5,97.4,Online
2025-03-24,Block A,Bravo,B-01,1704.7,488.7,6480.2,587.4,98.8,Online
2025-05-26,Block A,Alpha,A-03,1991.6,571.0,8613.4,506.5,92.9,Online
2025-03-25,Block A,Alpha,A-02,1848.9,530.1,7010.8,640.1,93.6,Online
2025-03-26,Block A,Bravo,B-01,1792.8,514.0,7252.1,542.4,93.2,Online
2025-11-19,Tuna,Tuna-FPSO,T-03,234.8,117.4,929.7,74.5,94.1,Online
2025-03-01,Tuna,Tuna-FPSO,T-02,247.4,123.7,1018.4,71.8,96.9,Online
2025-07-09,Block A,Alpha,A-04,2029.4,581.8,8722.9,525.4,93.5,Online
2025-10-04,Tuna,Tuna-FPSO,T-01,247.2,123.6,1073.2,62.2,95.0,Online
2025-04-26,Tuna,Tuna-FPSO,T-01,273.4,136.7,1122.1,79.9,92.6,Online
2025-11-30,Block A,Alpha,A-02,1809.4,518.8,7383.2,536.4,94.6,Online
2025-05-04,Block A,Alpha,A-04,1924.5,551.8,7767.3,585.3,98.8,Online
2025-08-14,Block A,Bravo,B-01,1751.6,502.2,7015.1,542.1,94.4,Online
2025-11-12,Block A,Alpha,A-03,1759.1,504.3,6682.8,606.9,92.6,Online
2025-01-12,Block A,Bravo,B-03,1677.3,480.9,6548.4,548.3,97.6,Online
2025-11-10,Block A,Alpha,A-02,1732.2,496.6,7136.0,501.9,98.4,Online
2025-12-23,Tuna,Tuna-FPSO,T-02,214.7,107.3,916.8,56.6,96.1,Online
2025-04-16,Block A,Alpha,A-02,2178.4,624.5,8793.9,662.2,97.5,Online
2025-07-16,Tuna,Tuna-FPSO,T-01,265.5,132.8,1022.9,89.1,98.0,Online
2025-04-11,Block A,Bravo,B-02,1779.0,510.0,7199.2,537.8,93.9,Online
2025-01-02,Block A,Bravo,B-01,1813.7,520.0,7009.5,605.2,95.0,Online
2025-04-18,Tuna,Tuna-FPSO,T-01,279.4,139.7,1057.6,97.1,95.2,Online
2025-01-28,Tuna,Tuna-FPSO,T-01,235.5,117.8,966.8,68.8,93.7,Online
2025-11-23,Tuna,Tuna-FPSO,T-03,267.5,133.8,1136.4,71.6,95.2,Online
2025-05-02,Block A,Alpha,A-03,1928.0,552.8,7780.2,586.6,94.0,Online
2025-07-18,Block A,Bravo,B-02,1967.1,564.0,8407.4,517.5,94.2,Online
2025-03-04,Block A,Alpha,A-01,1769.8,507.4,7004.4,562.1,97.6,Online
2025-04-07,Block A,Alpha,A-01,1958.6,561.5,7743.3,623.6,95.4,Online
2025-08-30,Block A,Alpha,A-02,2123.7,608.9,8544.5,650.5,93.1,Online
2025-01-11,Block A,Bravo,B-03,1706.8,489.3,7084.1,485.4,92.0,Online
2025-09-28,Block A,Alpha,A-01,1961.4,562.3,7818.0,613.5,95.0,Online
2025-01-13,Tuna,Tuna-FPSO,T-02,241.0,120.5,1013.7,66.2,98.7,Online
2025-07-12,Tuna,Tuna-FPSO,T-01,270.9,135.4,1057.8,88.5,96.7,Online
2025-09-25,Tuna,Tuna-FPSO,T-02,282.3,141.2,1218.9,72.1,96.1,Online
2025-10-07,Block A,Bravo,B-01,2278.9,653.4,9731.0,601.1,92.6,Online
2025-06-29,Block A,Bravo,B-03,2059.6,590.5,8953.4,515.9,94.2,Online
2025-10-31,Block A,Bravo,B-01,1883.5,540.0,8053.5,495.0,99.3,Online
2025-06-07,Block A,Bravo,B-02,2006.1,575.1,8451.3,549.0,93.4,Online
2025-03-06,Block A,Alpha,A-01,1801.1,516.4,7525.3,503.6,92.0,Online
2025-05-04,Block A,Bravo,B-02,2008.0,575.7,8047.8,620.4,92.6,Online
2025-06-13,Tuna,Tuna-FPSO,T-02,294.6,147.3,1136.5,98.7,98.8,Online
2025-12-30,Block A,Bravo,B-03,1650.1,473.1,6438.9,539.9,94.6,Online
2025-09-17,Block A,Alpha,A-03,2028.9,581.7,7785.2,686.6,95.7,Online
2025-07-25,Tuna,Tuna-FPSO,T-01,246.9,123.5,967.3,80.1,95.1,Online
2025-09-02,Block A,Alpha,A-01,2051.0,588.0,8196.9,637.7,92.5,Online
2025-11-09,Block A,Alpha,A-04,1703.3,488.3,6861.0,520.4,98.0,Online
2025-01-13,Tuna,Tuna-FPSO,T-01,222.5,111.2,866.1,73.2,94.6,Online
2025-04-18,Block A,Alpha,A-01,2019.1,578.9,8281.4,591.3,98.8,Online
2025-11-15,Block A,Bravo,B-02,1997.0,572.5,7956.7,625.1,99.8,Online
2025-02-06,Block A,Bravo,B-01,1719.4,493.0,7233.4,472.3,93.5,Online
2025-01-26,Tuna,Tuna-FPSO,T-02,221.1,110.5,835.5,77.1,98.3,Online
2025-03-11,Block A,Alpha,A-02,1979.8,567.6,7570.7,674.5,99.4,Online
2025-12-24,Block A,Alpha,A-01,1858.7,532.9,7279.1,603.7,94.0,Online
2025-07-22,Block A,Alpha,A-02,2173.5,623.1,9443.5,545.3,96.4,Online
2025-12-18,Tuna,Tuna-FPSO,T-01,259.1,129.6,1039.3,79.9,98.7,Online
2025-08-19,Block A,Bravo,B-01,1974.6,566.1,7469.4,686.8,92.6,Online
2025-08-05,Block A,Alpha,A-04,1816.9,520.9,7807.8,470.7,99.8,Online
2025-12-17,Block A,Alpha,A-03,1845.3,529.0,7807.0,499.3,99.6,Online
2025-10-08,Tuna,Tuna-FPSO,T-03,273.9,136.9,1143.0,76.8,93.2,Online
2025-07-07,Block A,Bravo,B-01,2230.7,639.5,8608.6,746.5,99.6,Online
2025-06-21,Block A,Bravo,B-01,563.1,161.4,2214.3,181.3,38.4,Online
2025-09-09,Block A,Bravo,B-01,2184.1,626.2,9004.3,631.6,93.0,Online
2025-02-26,Block A,Alpha,A-03,1690.3,484.6,6785.3,520.4,95.9,Online
2025-06-28,Block A,Bravo,B-01,1878.1,538.5,7102.0,653.6,94.2,Online
2025-11-28,Block A,Alpha,A-03,1600.8,458.9,6768.5,433.8,93.5,Online
2025-05-10,Tuna,Tuna-FPSO,T-02,270.7,135.3,1106.6,79.9,99.8,Online
2025-04-15,Block A,Alpha,A-03,2031.3,582.4,8686.2,533.7,93.7,Online
2025-06-20,Block A,Alpha,A-04,588.7,168.8,2266.4,197.9,28.8,Online
2025-11-20,Block A,Alpha,A-04,1764.5,505.9,7416.9,485.7,98.7,Online
2025-11-10,Tuna,Tuna-FPSO,T-01,231.2,115.6,889.1,77.9,99.8,Online
2025-01-18,Tuna,Tuna-FPSO,T-03,224.6,112.3,888.7,71.4,94.0,Online
2025-05-24,Block A,Bravo,B-03,2095.9,600.9,8351.8,655.9,95.7,Online
2025-10-18,Tuna,Tuna-FPSO,T-03,256.3,128.2,1059.2,73.7,99.3,Online
2025-02-12,Block A,Alpha,A-01,1896.1,543.6,7455.9,610.6,99.9,Online
2025-10-24,Block A,Bravo,B-03,1858.1,532.7,7552.3,556.0,95.4,Online
2025-09-06,Tuna,Tuna-FPSO,T-01,251.7,125.8,967.4,84.9,93.4,Online
2025-06-02,Tuna,Tuna-FPSO,T-01,261.1,130.6,1038.1,82.1,95.0,Online
2025-07-14,Block A,Alpha,A-02,2001.8,573.9,7908.4,638.3,97.8,Online
2025-12-05,Block A,Alpha,A-01,2048.3,587.2,8155.2,642.2,98.1,Online
2025-06-09,Block A,Alpha,A-03,2224.1,637.6,9058.2,662.3,98.6,Online
2025-08-10,Block A,Bravo,B-03,2123.0,608.7,8384.3,677.4,96.4,Online
2025-04-04,Block A,Alpha,A-01,2127.6,610.0,9187.2,543.6,95.1,Online
2025-02-12,Block A,Bravo,B-02,1826.9,523.8,7234.9,579.5,96.9,Online
2025-10-28,Block A,Alpha,A-04,2134.1,611.8,9261.0,537.4,98.4,Online
2025-10-28,Block A,Alpha,A-02,2037.6,584.2,8169.0,629.1,98.8,Online
2025-04-06,Block A,Alpha,A-04,1824.3,523.0,7760.9,486.2,93.6,Online
2025-06-14,Block A,Alpha,A-02,683.5,196.0,2593.0,236.4,34.2,Online
2025-08-27,Tuna,Tuna-FPSO,T-02,285.0,142.5,1097.9,95.7,96.0,Online
2025-05-08,Block A,Alpha,A-01,2171.3,622.5,9336.0,561.6,95.6,Online
2025-07-07,Tuna,Tuna-FPSO,T-02,286.3,143.2,1094.8,97.5,92.8,Online
2025-04-26,Block A,Bravo,B-01,1879.9,539.0,8088.0,485.4,97.9,Online
2025-03-29,Block A,Alpha,A-04,1703.2,488.3,7259.6,451.5,98.8,Online
2025-07-11,Tuna,Tuna-FPSO,T-02,245.7,122.8,983.6,76.1,94.5,Online
2025-07-15,Block A,Alpha,A-02,1902.8,545.5,7974.1,528.0,95.9,Online
2025-01-09,Block A,Alpha,A-04,1711.9,490.8,7319.8,449.9,98.9,Online
2025-03-04,Block A,Bravo,B-01,1779.4,510.2,7442.5,496.2,98.6,Online
2025-03-12,Block A,Bravo,B-01,1720.1,493.2,6888.2,532.5,95.6,Online
2025-03-11,Block A,Bravo,B-01,1705.5,489.0,6991.4,500.1,95.5,Online
2025-03-14,Block A,Alpha,A-03,2038.6,584.5,8837.1,515.0,92.8,Online
2025-09-08,Block A,Bravo,B-02,2099.6,602.0,8837.6,575.9,94.7,Online
2025-06-06,Block A,Alpha,A-04,2137.0,612.7,8760.6,626.6,99.2,Online
2025-02-07,Block A,Bravo,B-03,1683.6,482.7,6412.8,577.9,98.2,Online
2025-03-10,Block A,Alpha,A-04,1804.4,517.3,7381.4,531.7,92.1,Online
2025-06-27,Tuna,Tuna-FPSO,T-03,286.4,143.2,1169.1,84.8,98.3,Online
2025-05-02,Block A,Alpha,A-02,2076.7,595.4,9016.3,522.2,98.9,Online
2025-09-11,Block A,Alpha,A-03,2066.1,592.4,8724.9,561.8,96.1,Online
2025-12-03,Block A,Alpha,A-04,1730.1,496.0,6688.7,576.9,93.4,Online
2025-12-22,Tuna,Tuna-FPSO,T-02,243.8,121.9,1053.3,62.2,95.5,Online
2025-12-21,Block A,Bravo,B-01,1612.9,462.4,6704.5,457.0,93.5,Online
2025-09-24,Tuna,Tuna-FPSO,T-03,258.5,129.2,1068.3,74.3,99.8,Online
2025-01-29,Block A,Alpha,A-01,2046.4,586.7,8686.3,548.8,96.9,Online
2025-07-27,Block A,Bravo,B-03,2105.4,603.6,8161.0,698.3,99.9,Online
2025-05-18,Block A,Bravo,B-01,2185.1,626.5,9233.2,593.2,96.3,Online
2025-11-05,Block A,Bravo,B-01,1793.8,514.3,7219.2,549.1,99.0,Online
2025-09-18,Block A,Bravo,B-01,2038.6,584.5,8113.7,639.7,93.6,Online
